course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23000
Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23000
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23000
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23000
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23000
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23000
Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24000
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24000
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24000
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24000
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24000
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24000
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24000
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25000
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25000
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,COURSE,4.7,Beginner,25000
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25000
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25000
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25000
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26000
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26000
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26000
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26000
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26000
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26000
From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26000
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27000
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27000
Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27000
Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27000
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27000
Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27000
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27000
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28000
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28000
The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,28000
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28000
Stories of Infection,Stanford University,COURSE,4.9,Intermediate,28000
Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29000
Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,29000
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29000
Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29000
The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29000
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29000
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29000
Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29000
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30000
Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30000
Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30000
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30000
Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30000
Roman Architecture,Yale University,COURSE,4.9,Beginner,30000
Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,30000
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30000
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30000
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30000
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31000
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31000
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31000
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31000
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31000
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31000
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31000
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed,31000
Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31000
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.7,Beginner,32000
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32000
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32000
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32000
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32000
Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32000
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33000
The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed,33000
Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.9,Mixed,33000
Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33000
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33000
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33000
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33000
Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33000
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34000
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34000
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34000
Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34000
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34000
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34000
Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner,34000
Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34000
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34000
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34000
Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34000
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35000
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35000
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35000
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed,35000
What future for education?,UCL Institute of Education,COURSE,4.7,Mixed,35000
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35000
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35000
Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35000
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36000
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36000
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36000
Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36000
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36000
Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,36000
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36000
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36000
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36000
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36000
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37000
Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37000
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37000
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37000
Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37000
"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37000
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37000
Success,University of Pennsylvania,COURSE,4.8,Beginner,38000
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38000
Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,38000
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38000
Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38000
Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39000
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39000
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39000
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39000
Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate,39000
Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39000
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39000
Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39000
Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39000
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39000
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39000
Version Control with Git,Atlassian,COURSE,4.8,Mixed,40000
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40000
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40000
Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner,40000
Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40000
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40000
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40000
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,41000
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41000
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41000
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41000
Основы разработки на C++: белый пояс,E-Learning Development Fund,COURSE,4.9,Intermediate,41000
Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41000
Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42000
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42000
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42000
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42000
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42000
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42000
Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42000
Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed,42000
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43000
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43000
User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43000
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43000
Construction Project Management,Columbia University,COURSE,4.8,Beginner,43000
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43000
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43000
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43000
UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44000
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44000
Mountains 101,University of Alberta,COURSE,4.9,Mixed,44000
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44000
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44000
Погружение в Python,Moscow Institute of Physics and Technology,COURSE,4.7,Intermediate,45000
Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45000
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45000
Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45000
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45000
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46000
Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46000
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46000
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46000
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46000
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47000
The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47000
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47000
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Mixed,47000
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47000
"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,47000
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47000
Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,47000
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47000
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48000
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48000
Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48000
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49000
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49000
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49000
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49000
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49000
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49000
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49000
Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,50000
The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50000
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50000
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51000
Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51000
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51000
Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51000
Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52000
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52000
Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52000
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52000
Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52000
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53000
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53000
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54000
Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54000
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54000
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54000
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54000
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55000
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55000
Behavioral Finance,Duke University,COURSE,4.4,Mixed,55000
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56000
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56000
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56000
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56000
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56000
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57000
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57000
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57000
Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,57000
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57000
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57000
Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57000
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58000
Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed,58000
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58000
Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58000
The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59000
Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59000
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59000
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59000
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60000
Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60000
Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60000
Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60000
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60000
Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60000
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60000
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61000
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61000
Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61000
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62000
System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62000
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62000
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62000
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62000
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62000
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63000
Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,63000
Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63000
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64000
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65000
Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66000
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66000
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66000
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66000
Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66000
Математика и Python для анализа данных,E-Learning Development Fund,COURSE,4.8,Beginner,67000
Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67000
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,67000
Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67000
Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67000
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67000
Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,68000
Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68000
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68000
Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68000
UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68000
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68000
Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68000
Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,68000
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68000
Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68000
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69000
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69000
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69000
Éxito Profesional,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,69000
Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,69000
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69000
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69000
Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70000
Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70000
Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71000
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71000
Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71000
